chr	summit
III	14001801
III	30358448
IV	3767078
IV	19215932
IV	52486852
V	44149133
V	46470385
X	2589875
V	587929
I	4714063
I	6257176
III	23312570
I	25332174
III	4870230
V	4456032
X	8268005
IV	5451882
I	17695358
I	10822567
III	41621619
V	36341896
IV	53831933
II	39816056
I	46769055
I	370742
I	1308455
I	6769001
II	4884256
II	14054949
II	36435388
III	22664729
III	38996315
IV	18872463
V	32569061
V	45405308
X	4834453
I	34175174
II	44616951
I	37831995
III	28503613
III	24743466
I	6344868
X	31410934
I	3459392
IV	54639331
II	13971548
II	38750471
III	39994146
IV	20224271
IV	34146867
V	10537527
V	38518635
V	45026979
III	12849298
X	247136
IV	40523220
IV	41091196
II	18445361
V	19740524
X	12659293
I	47642361
II	46009470
V	49155294
X	7404943
II	3542781
III	2378629
III	10631785
III	28467400
III	31678028
III	42583213
V	41915298
V	4418959
II	7105965
IV	6362148
II	6399073
II	43400330
II	20114783
I	33013265
II	32741392
II	15820922
III	5740136
III	11746254
V	44050429
II	25986437
III	29968797
IV	43721033
IV	52310268
X	18120140
V	26119136
I	4698184
I	23657647
III	41741157
I	17553667
II	21717137
I	17762934
I	44570015
I	4746333
X	28647125
III	12494183
III	13755901
V	47354683
I	44716159
II	14357348
II	44645128
I	21386893
I	2113647
I	11640113
II	35430266
II	38461151
III	13832414
III	16977357
III	40751600
III	42481137
V	6260004
V	30084884
X	31420884
X	16368820
III	6304219
I	42600921
X	2263358
V	3541634
II	24223766
X	12429179
IV	7287973
II	10400088
IV	10150642
X	11848530
V	42567273
I	41813827
X	28997074
V	47892321
I	47807581
I	19525092
I	1315008
I	17395110
I	24623271
I	47267321
II	40482460
IV	18547471
IV	34125501
V	45411194
X	4785325
I	18440219
II	14645319
V	43035599
III	28816298
X	17420322
X	23322034
X	30054735
V	32088403
III	37404368
III	18997837
II	5314051
X	10376593
I	43649041
IV	13057461
IV	29466549
I	2568166
I	6040205
III	8733115
III	36672575
IV	8280793
IV	22025160
IV	47969997
V	25790660
X	3957571
I	17697490
IV	18099110
III	19745461
II	41209374
III	21048989
X	4385683
V	1154310
X	2247696
II	19121766
V	48459567
I	9129865
IV	46994677
V	11039201
III	17319455
III	43416567
X	32688957
III	4935736
IV	7863402
I	13613288
I	13035769
I	34245098
II	32765153
IV	27595730
V	15491135
V	16200453
V	25811196
V	25827737
IV	29018505
I	43183859
III	22043700
II	40119406
X	30582422
X	21903014
I	43001084
V	48439184
IV	44354174
V	30716776
III	41362981
X	5006238
I	33129081
I	42380016
III	17315200
III	29134919
IV	24297095
IV	48665514
V	20285845
V	34208990
X	2851082
X	31930358
I	19504563
X	8552316
II	21554628
II	41773859
I	46676008
I	2729321
V	2519643
III	31414544
II	46250863
V	5423987
III	17322468
II	11692849
I	17239008
IV	1404092
II	44467956
X	25265884
I	26249151
I	41851982
III	9865708
V	40085836
I	12582237
I	3343391
II	7238233
II	38749957
IV	10060837
V	2727378
V	30853836
V	44244073
X	18071280
V	10948677
IV	41722160
IV	38457936
IV	13286006
I	19905153
II	46446579
IV	50535735
I	47617713
I	19132849
I	40005028
II	44165811
III	28057992
IV	51221177
V	22472021
V	30408057
II	46019473
X	22878733
X	3483363
X	9672023
V	12389805
IV	7885765
I	31949731
IV	16474399
IV	32460158
X	17797571
I	19259045
II	19863988
II	29841757
III	5793857
II	48464755
IV	116117
V	25808717
I	3561223
X	1317736
I	21504663
IV	48034279
III	9417097
II	10261002
X	13619710
IV	11789439
II	46543212
III	26701373
III	27692471
III	39116560
IV	7929381
IV	46785517
I	33200536
V	26884444
V	47629626
I	7402325
I	25549190
I	29303654
I	35948076
I	38027102
II	1524575
II	15191526
II	26561475
III	3714337
III	45136628
IV	7531630
IV	16071409
IV	25251925
V	5010244
V	23446763
V	31719986
X	9731815
I	33687174
V	23155335
X	28295113
II	33030641
II	23440425
II	41961651
X	21672892
X	21668445
IV	53850546
X	2441724
III	11776361
X	29542181
I	1358558
V	43043508
V	9683533
I	42592551
V	22205951
IV	26289539
I	46273547
II	39923556
I	5416632
II	15879308
IV	46582801
II	27888613
II	17795373
III	18123710
I	40589272
IV	10134554
IV	19003438
V	1041186
X	4992239
V	9235284
I	10104863
X	34179155
X	28801084
X	9091070
I	15593868
I	19783091
I	30327471
I	47733584
II	1897736
IV	19595695
V	41312653
II	37047248
IV	29612970
X	5478825
II	18715288
I	19267230
II	38795305
I	3198524
I	5153672
I	35699817
II	37382731
III	11616125
III	30402461
III	32568405
III	44494929
V	8984295
V	9715168
V	35159418
V	42054321
X	4398524
II	26741726
II	3860658
II	12416913
III	41342581
X	3510269
IV	42585535
I	47259335
III	44008555
X	7104757
X	17499205
III	1783350
II	37626143
I	34814363
IV	10135842
V	1501560
I	11840515
III	38251773
V	14702247
V	48637731
II	48478129
II	1026887
III	5211778
II	24983954
III	12732958
V	15191278
II	47276477
X	6682212
X	1996300
II	20328197
II	3291408
V	26021946
I	6663703
II	33415545
III	16986811
III	20040876
III	26448013
III	27695388
IV	3835081
IV	9635021
V	7047685
V	12743696
II	1060697
II	15656781
X	28045510
IV	38005666
I	26331099
III	40746685
IV	54085174
II	937148
V	1096200
X	1901767
V	29000146
III	35394646
I	8184816
X	25111799
I	2843115
II	27308084
II	43420233
X	14499501
X	3379077
X	3680349
II	22307696
V	48865927
IV	34241017
I	9951515
V	14847547
V	11673628
I	38591847
II	29810941
III	2644137
III	9217124
IV	2347346
IV	48544037
X	7028912
III	33476255
III	43771243
IV	39915998
IV	43837968
I	1432835
I	2064763
I	21398235
I	27990332
I	39790695
IV	20663392
IV	23250612
IV	45386422
V	20210499
V	30398528
V	39725130
II	47112295
IV	32559410
IV	32667195
IV	12889540
I	29449994
IV	34283488
I	35273805
III	38312588
X	9435229
I	44244555
I	21155141
IV	53837450
V	48025353
I	38987050
IV	2046628
II	42649293
III	15343140
III	45312867
I	44576545
I	18587127
II	612640
V	17917709
I	41186545
III	41965641
II	19777090
I	21394829
V	15930527
III	1185498
I	8592720
X	1737577
II	38328267
I	2825144
I	14499953
I	15089285
I	32131609
I	34212037
I	38423149
II	3048003
II	26046947
II	32187672
III	18948463
IV	20195080
V	5352524
V	7773029
V	8699029
V	8973010
V	46464629
III	43884445
V	38889285
V	19736600
IV	46228057
V	18933181
V	31853364
V	45362489
V	48739331
I	17557689
II	6159270
IV	5454717
I	39449787
I	16647552
IV	13474452
V	13204009
II	12029735
III	26238558
III	19034185
V	3134214
III	31369508
I	491448
IV	48939529
III	39619395
III	26802745
X	21159941
III	24298378
III	32711963
II	16249059
II	11227280
X	7434420
III	20577471
IV	11067485
III	43291492
IV	26412793
III	43630996
I	1702924
I	15076618
I	33839121
II	7158636
II	12242722
II	18644535
III	24764230
III	29900705
IV	147327
V	16698048
V	20117139
V	44917170
X	27362914
X	28296731
II	4289999
V	26120460
II	3885493
II	48043872
I	39348746
II	35082254
II	41146502
III	2970071
III	11213630
III	16143104
IV	34358452
V	33004183
III	21440195
V	28409274
III	9793801
II	44620620
I	1586266
III	5504118
X	25451171
IV	7537010
III	39892916
IV	39024767
IV	17701479
II	46914288
IV	47967303
X	2361857
II	27686732
III	5569510
I	17675063
I	15428629
IV	3605893
X	28190915
II	8475663
IV	19349043
V	28799501
III	36910443
III	33483802
III	26274505
II	22453604
I	21489772
I	1175903
I	30400613
II	9143098
II	14772055
II	44389738
III	8738861
III	25460400
III	28386734
III	41711441
V	15724061
V	21412860
V	27352183
V	43388957
X	26754799
III	38407039
III	28280988
V	38629278
IV	13376270
IV	7403304
II	3497616
I	11836655
III	39238244
II	4768408
II	42399057
IV	43643199
II	32954121
III	1772978
I	17808674
I	27668660
I	39928832
II	10606764
II	10828738
IV	6902211
IV	14214609
IV	17269621
IV	25559339
V	9977474
V	13511845
V	21165312
X	12538921
III	45155683
V	44128494
X	3261547
II	18732436
III	20005858
IV	38140962
I	25132908
X	4250236
I	37278135
III	39524176
II	19821730
I	1359173
V	34984251
X	17376474
I	713834
II	16716066
IV	13428573
II	72017
V	31900570
I	24716049
V	15948432
II	23801472
I	34698723
II	17177462
II	33241515
II	44164753
III	12173032
III	17331653
IV	1926016
IV	10604709
IV	28393630
V	23416838
X	27575631
X	33167625
V	22768377
V	47645713
I	5941372
II	46009902
X	3065223
IV	50085530
V	36164173
I	39029994
IV	3993012
IV	28665554
III	28357897
I	18203697
I	13749890
I	46894080
II	44337877
III	561874
V	4599104
V	11060965
V	13704309
X	6039799
X	24706963
X	32714336
V	44429494
IV	2058299
X	29410573
IV	42217409
V	15706771
III	705307
V	3497095
X	7405555
III	45256964
I	7354743
V	5126421
X	117395
V	3994883
IV	15575340
IV	2369661
X	1122511
X	1560008
I	6173218
II	32915777
I	42595717
III	34122330
I	3172439
III	19557269
I	11260989
I	9894732
I	31777250
II	21149201
II	34626186
II	39091761
III	25132676
III	28340120
III	30310806
IV	46261412
V	3623145
V	3958366
V	29056293
V	30826478
X	31732220
X	31493292
II	40365166
IV	18036148
X	33911059
III	45475962
II	37846293
I	11716205
IV	54090626
III	6000793
X	32060885
V	780909
I	27008329
II	8198797
I	21479569
I	5400531
V	45687898
X	28225555
I	2316416
II	42050548
IV	19925124
IV	25554582
V	18441551
V	31523987
IV	941223
II	46638037
IV	18876673
X	4246730
II	37374290
II	21951426
V	48644262
IV	46003638
X	32111644
III	26251877
III	21056430
III	5245140
V	4343050
I	38168235
V	8446200
I	46067288
III	46004549
IV	40946715
IV	39037050
III	41527474
I	8252678
I	15377836
I	20846978
I	31548417
II	34531413
II	37328145
II	39368449
III	24629243
III	30124511
IV	5990486
IV	29249186
IV	52677087
I	28774120
IV	27547916
III	115496
II	47705041
III	23960730
I	48001261
I	1871561
X	33003110
V	15598174
IV	49515159
III	26647619
IV	32997623
X	8120278
III	25330530
X	27593944
I	17765691
X	9159332
I	15958241
V	29554792
V	36166978
II	47658151
I	27048309
IV	482096
V	3785956
II	7744183
II	26143097
II	29361706
III	983695
IV	1965430
IV	14586310
IV	18003159
V	14003905
X	28896239
I	5060954
II	44585854
I	35503919
III	39851480
III	22143006
III	44274409
III	34037203
I	28577407
I	46170070
III	34455424
II	792950
X	1647413
IV	19531783
I	48047634
I	8187521
I	8575249
II	45456001
III	3644394
III	27649218
IV	13158909
IV	24311843
IV	37014578
V	21420994
V	22262918
V	33046510
X	4037576
III	35409495
X	29257330
III	42990134
V	39470828
II	37474742
IV	46133784
V	7985019
I	39458826
X	7520625
III	6234550
IV	38451325
II	20364098
I	34686511
II	18966927
II	15987377
II	7398495
I	28454125
X	27869268
IV	43853602
II	22026073
X	7262653
I	39289484
I	9527617
IV	10896383
IV	15179884
X	14673412
I	10040646
I	36567368
IV	47513861
IV	8569115
III	42994027
I	2768223
I	23746125
I	28090600
IV	29036944
V	7482027
V	35703262
X	18240568
III	39826465
I	44911349
II	16839305
V	33098734
III	509260
X	1828612
I	35040638
II	45575660
IV	2487683
III	24929532
I	15080546
I	19134237
I	36286285
III	2842933
III	40757375
III	43528816
IV	53873446
V	4660117
V	14587596
V	20324484
V	31585822
V	31795874
X	17266012
V	36171471
II	38109693
X	31253228
X	10422626
IV	41767031
X	10756287
IV	12927431
I	16084366
IV	43991034
IV	34414774
X	3654967
I	615461
V	36150449
III	20029877
III	24861671
III	18256986
I	15202030
I	8066299
IV	40211445
X	21040350
IV	9266965
X	19902840
IV	34455527
II	27379132
II	8365586
III	6281312
I	34171626
III	44614187
IV	13080036
I	28535067
I	35214635
I	40450991
II	13886669
III	3655138
III	14768532
III	19922154
III	25087462
IV	12498900
I	5815267
I	770624
V	34729366
IV	30154163
X	4677424
IV	52877624
IV	22776756
IV	27807246
X	27665841
II	6780055
I	39728293
IV	11689249
X	32296778
II	31448671
III	25227472
X	11218135
I	20494617
I	25364769
I	37227681
II	7225808
II	40837491
III	1141339
III	17215325
III	43612812
IV	11120587
IV	13202008
IV	22640139
X	4366673
X	32848397
II	29949123
II	747959
III	43665756
I	47430008
III	33304900
X	32849462
X	4606156
II	31273279
I	10747541
I	21498480
IV	26766282
III	13620948
I	5562709
IV	12227494
V	7260715
V	28639265
IV	42779327
X	25743486
II	38787923
III	10313140
IV	50020661
II	8257454
I	44868900
I	21395629
X	29984952
II	4242616
V	34049956
I	39162357
III	11426489
I	45605135
I	46881408
II	32540179
II	40493154
III	36433486
III	43127809
III	45165804
IV	5688211
X	10885541
X	3096528
II	44043092
IV	36870793
X	10303793
IV	16453093
III	3926779
V	34979420
III	5298615
V	47907463
I	38996746
I	25246794
I	31943082
I	45372921
II	33336100
II	37384510
III	15407397
III	33560369
III	43333014
IV	1407564
IV	5697864
IV	41798911
V	30401099
V	42390879
V	44138201
X	4815198
IV	34182723
I	45854084
X	25449694
I	48045082
V	23395705
X	9607110
V	34977305
X	25105866
III	12257753
II	21345420
II	46458669
IV	40565978
X	16942199
X	16936976
V	15818896
IV	7947759
I	10506727
II	27893987
II	47217902
X	7183797
V	13044136
III	346027
II	44701208
I	41389520
II	8513709
II	6043089
III	41763679
IV	29500342
IV	54241814
X	34151595
X	32569438
IV	1463798
V	47559770
IV	27264102
III	20872496
IV	5446905
III	38408595
V	49177074
I	4021205
I	5160269
I	13145576
I	16748298
II	35125745
III	1047228
III	37813686
IV	3642259
IV	8942743
IV	23996380
V	9005865
V	12924309
V	30535439
X	7792304
X	640498
X	25497149
I	1006678
I	8364681
I	35525467
I	39655103
II	5061181
II	9290866
III	7591402
III	11331596
III	30527994
III	32001550
IV	7533216
IV	13199651
IV	20451638
III	6280423
I	42279059
II	41435422
IV	50435742
X	29340619
II	3396828
V	28044484
I	43214527
III	38371483
X	260988
II	10931564
V	11743602
X	25349735
V	19189938
IV	27697424
V	23218074
V	48427083
X	29465379
V	28036033
I	45397051
I	1454397
V	22774853
III	17780067
V	34762960
IV	42430779
I	17073207
V	28037421
V	28641566
I	288334
X	33018095
I	24680032
II	44721126
III	28705046
II	3857068
IV	45823743
III	14296566
III	13497841
II	9993945
IV	23503335
II	20117255
II	3878089
X	30421091
I	12456638
I	12970564
I	34349359
I	38620772
III	3546429
III	20953696
III	29218205
III	34371244
X	6351216
I	25945696
III	3350139
III	15824853
III	40609903
IV	7779550
V	17816259
V	38143971
X	14817792
X	27437101
IV	1906240
III	43812814
II	20183354
IV	40579307
I	3471077
X	22328979
V	34105563
X	27469631
X	31103611
III	29303420
III	31463786
III	34819919
X	29981011
V	32923756
IV	1471507
IV	48821991
IV	53437057
II	44429104
IV	44421934
V	10959626
V	29300069
X	24993208
V	8689697
IV	53821793
IV	38440581
I	946414
II	4259083
II	14699581
II	5023634
V	29394075
III	9924045
V	4585157
II	1022602
V	46455556
II	37373451
II	2210300
I	2811667
II	25247730
I	6461325
I	9247082
I	14515498
I	34395253
II	6714346
II	26635538
II	33334870
III	13398579
III	14655836
III	25462777
III	40742002
III	42983397
IV	44498728
V	8681544
V	12737689
V	21401980
V	31949198
V	44840909
X	7707742
I	29339404
II	9045713
II	22479452
III	7075753
IV	32525162
IV	42231951
IV	53825367
V	29231723
II	1943807
V	3701470
III	10180432
IV	13344810
II	4282154
I	45824270
X	27609571
X	31249208
I	42474342
V	29306329
X	32292753
IV	1473416
V	9682012
X	654040
X	9144210
IV	8156085
IV	50092986
X	27603169
IV	41218186
V	20740035
IV	49891427
III	4726446
II	22042302
V	47576361
X	29350212
IV	53829044
V	15784738
III	11750976
X	32916704
V	16690825
I	39240539
IV	29268717
I	10635990
V	29083113
III	31109908
IV	6992635
III	14759825
X	29820993
I	13382816
V	129742
IV	22531439
II	4574741
X	28600918
I	9635040
I	12999740
I	35159016
II	1467137
II	9442558
II	15258365
II	38908722
II	44263843
III	10576668
III	38866760
III	43865946
III	44271853
IV	26866321
V	12626278
V	26511791
V	12732930
V	20744436
I	2401563
I	19120698
I	45196040
II	7932480
II	10251070
II	10622319
II	22237132
III	2517588
III	21317392
III	33901706
IV	8130183
IV	30667001
IV	37375899
IV	38343100
V	7758664
V	13793025
V	27458659
X	26499538
V	41877261
IV	26849385
II	40018419
III	41083411
II	39404663
II	42151729
I	47447594
V	14032365
III	27407912
III	3547201
III	35671848
IV	2049774
V	42598972
X	2032384
IV	29019925
I	10791786
I	294340
I	9965902
IV	41700219
V	37791751
III	38530469
IV	30775159
X	26951815
II	29567494
I	7602884
X	9308792
X	14677776
IV	51110039
II	8223721
V	27874644
I	30818226
X	11744621
I	12421474
I	15077348
I	34859149
I	37291930
III	3960968
III	3994958
III	8739806
III	9314216
III	18076818
III	32763718
III	33891748
IV	30698440
IV	32338400
IV	41818295
IV	44919761
V	796038
X	2944130
I	27789133
IV	27095444
V	5390931
I	13613768
II	47742563
III	43813886
II	44612315
II	44019464
II	12846010
X	12716849
IV	41715513
II	16494948
III	15019889
I	4633137
I	5704545
I	24523119
I	33250087
II	3469790
II	30339852
II	39599941
II	40491638
III	4987146
III	15092101
IV	18425824
IV	19408384
IV	22968418
X	17355867
V	14739363
I	3552381
II	248851
IV	280040
IV	52446857
III	45135543
II	18161831
III	45021573
V	1090934
V	143431
II	46523343
I	16908150
I	4587567
I	507276
III	6282619
II	6794058
III	13493331
III	44465000
IV	51821227
IV	25500588
IV	50005349
I	38858011
IV	49977388
II	38304410
V	37287858
II	46286133
II	3882484
X	29809266
I	44835441
I	19610063
I	28158413
I	46843062
II	16550951
II	44141105
III	3939267
III	24974798
V	2814287
V	3999447
V	4606016
V	38399720
X	4032592
X	10169767
X	17861964
V	28384032
II	43304255
III	11818773
II	26768170
II	6409979
II	46171928
I	6348120
V	42419003
V	19523315
V	38690789
I	16223077
II	39362491
X	31144984
IV	51939245
I	37159372
I	46767920
X	6340479
I	15516193
I	35097249
I	39393474
I	43170279
III	3849694
III	11856825
III	21135336
III	21843371
III	43171973
V	3624838
V	8387793
V	14420103
V	45754274
X	1174621
X	23655462
X	32680834
IV	1165203
V	48850990
II	38302942
III	43365150
IV	7232459
I	6726963
I	41861312
V	11934141
I	42393577
I	33178830
V	28802897
IV	53533532
II	4342781
III	34461108
X	31155710
I	43075971
V	10344804
III	41878144
II	29335977
II	16549933
III	1901211
III	19251139
II	36242337
I	46461868
X	29720229
V	4310158
I	34193916
X	25624391
I	1828265
III	39592894
IV	30721896
X	6404240
II	9213098
I	10074601
X	1674247
IV	21201670
I	2817560
I	3692161
I	26661494
I	31329294
I	41636348
II	21497946
II	43371054
IV	35103411
IV	47481505
IV	48201247
V	4492356
V	4760206
V	5635101
V	14180008
V	23425905
X	33338096
I	42644993
IV	41751520
X	5756520
I	10742159
III	34934500
IV	47330697
I	848670
II	18404798
IV	33353141
V	8806936
X	17534201
V	32769002
IV	34820031
I	17677380
X	4764982
II	3360771
V	195640
I	40749128
II	19118839
III	41754981
V	77080
II	42568519
I	21496318
III	26891033
II	5927968
III	13218098
IV	30556339
IV	40721085
IV	41634149
V	30908500
X	17517346
X	20623179
IV	52901739
V	3024803
III	12735287
III	44100490
V	39732559
I	1488668
I	9542547
IV	24335390
X	32232483
IV	14969233
IV	39030138
II	6240622
I	33069004
I	42599234
IV	51030678
V	12393782
V	120666
X	5769955
III	23514359
II	1236128
II	9996502
II	4946941
I	5876962
I	13179637
I	35080594
I	39713193
II	17391632
II	38230051
III	29442368
III	30982262
III	43616626
IV	2423417
IV	28072956
IV	46339016
V	12628481
V	24753089
V	46440878
V	401052
IV	47270774
I	9266896
V	48284748
III	42065393
X	28243414
V	37203815
V	19343688
V	48177783
IV	13148256
IV	44295870
IV	48821345
IV	50143278
IV	48825674
III	3565604
II	46873721
I	44205938
X	13120321
X	4468645
III	11812741
IV	48073636
II	43743522
I	9864014
II	38300559
III	9411362
I	27669011
II	5325100
II	9372430
II	40293096
III	8806088
III	21976390
III	24088810
IV	47276
IV	43400164
V	38731759
I	41838959
II	730709
III	23956774
V	15817705
X	32868382
II	40911834
V	14499178
V	40581523
IV	52440912
III	20578586
IV	27663624
V	16778002
V	12495154
I	17391454
X	14824775
III	27461483
II	11294940
IV	47203544
V	48006655
II	22312490
III	11430379
I	41841065
IV	24303654
I	2111382
I	4007377
I	7847154
I	33824848
I	42376519
II	16103419
II	32770912
III	37582385
IV	15740291
IV	28071949
IV	35358935
IV	47978250
V	2867218
V	12043704
V	13339927
V	23383752
X	1785790
X	6877810
II	40398497
I	18202662
V	7272719
X	32298008
III	34107185
IV	25661447
II	41671121
IV	32467267
IV	38813083
I	10328997
II	1102344
II	29923557
IV	30984175
III	17273576
II	43398883
V	15942480
I	11649846
III	1936016
III	31105668
V	10946520
II	19528463
I	27254762
III	24711885
II	7396453
III	42997649
III	22035555
III	14878137
I	4668432
II	27690181
IV	1644567
IV	11681577
IV	46697018
IV	52601004
V	13830213
V	40513894
V	42142846
X	20672801
X	21199014
V	8642273
V	34719390
V	9729667
II	43891116
V	5366530
X	14535104
III	15370351
IV	6386300
III	13918733
II	44708927
IV	28164426
IV	32088978
V	17162424
IV	52894110
X	26723051
I	34355743
I	38894383
II	27568408
III	34030054
III	37991334
IV	10595483
IV	46738040
V	32093362
I	11418439
III	5520273
V	15931144
I	46365941
V	12759020
I	2221279
II	44778479
III	35317070
III	19527148
III	21782385
I	1391568
III	25942354
IV	22531049
I	47806038
I	45485910
I	10649041
X	32282394
I	44529218
II	44421516
I	43566189
IV	36062260
I	7707441
I	18111066
IV	51830984
IV	6664558
III	22551801
I	3036770
I	21364367
I	35252810
II	35632110
III	4710539
III	8597439
III	9142765
III	32563873
IV	7479787
IV	10235325
IV	39755684
IV	50766067
IV	51117485
IV	51682568
V	46519166
X	16974844
I	15185146
IV	2049106
II	47568011
II	21555727
I	40093885
X	4644768
V	29942584
III	30699592
X	30425811
II	18143384
I	21528450
II	46351583
II	37207093
IV	16322002
IV	44470027
III	22538997
I	11006672
I	12388852
II	1939634
II	37492867
IV	46594530
V	28911813
V	46213440
X	5420257
X	18313984
X	27549734
V	17029676
I	48020775
I	1796858
III	7229861
X	14933789
I	2368955
X	32933889
I	3549461
I	6514929
X	26224430
X	4476423
X	12562353
III	12842787
X	3516481
V	1080411
II	41574146
IV	45959529
II	36373515
I	16313538
IV	47737755
IV	53831080
I	10174507
IV	11325953
II	4132520
III	35967699
II	37760814
I	9763314
X	19793353
II	767161
V	47982381
II	26307784
I	484703
III	28283331
I	9764597
II	29014018
V	15053381
I	9632877
V	47903215
V	22554325
X	31408601
V	3542874
V	7200487
II	7954349
IV	49903734
I	9653983
I	21425598
I	23801872
II	22272868
II	22456512
II	30546431
II	31372930
II	42541583
III	13026517
III	15175456
III	15798702
III	34712024
IV	37156327
IV	42261139
V	5265400
X	1175214
X	18942981
X	20971962
V	4410454
IV	2326984
IV	21104241
V	2617525
X	4603230
II	4733318
IV	31197438
X	4528541
II	42570450
IV	41949598
I	24237851
I	31993613
I	37023098
I	38419416
III	9299879
III	12677866
III	38391575
IV	15241267
IV	22569643
IV	35313739
IV	41501346
X	3956608
V	36139594
III	38365727
IV	22536229
I	34233172
III	15292120
III	40585688
V	42596394
IV	42225875
V	12622587
IV	37104346
III	3555608
III	36894256
V	41051280
III	19322560
V	8687249
III	42739961
X	24273222
I	46027723
III	9564013
II	341437
III	12233069
I	6446312
I	10048022
I	5412434
IV	54564474
IV	51800552
III	24424040
II	12514121
I	13602164
III	6218969
II	47028602
III	40522069
X	5700838
III	43847193
II	18601327
I	33224118
III	40434573
V	1099506
X	3658881
II	38502663
I	5433587
II	24308059
IV	41021480
I	24618055
I	45170294
II	39278981
III	13439790
III	36874629
III	42319915
V	28292214
II	20082317
IV	6366123
V	1191717
X	25708072
X	18248238
III	15387642
I	9912062
I	34505541
II	13171719
II	40173495
II	43355652
III	9873722
III	29274410
III	32011011
III	32061085
III	33314190
IV	4633345
IV	8275383
IV	18022910
IV	21022659
V	6299095
V	14923709
V	25667801
V	29857824
V	44181143
III	4319082
III	22279720
IV	30793590
III	40391475
III	38477881
II	30696191
V	3129406
II	46301604
II	4569892
V	11931638
X	28112283
III	9094365
II	37032111
V	10963068
X	33545075
II	29923005
II	46318597
X	23491711
II	3881725
III	38915238
I	39069386
II	27376665
V	1730782
IV	53840680
I	47472671
V	17784565
X	4689313
I	35271201
V	37762155
IV	11109934
III	10725696
II	3447499
X	26698873
I	3564348
X	13574751
V	28034091
X	33839018
X	24783733
II	42666946
V	32774820
X	33625431
III	13354275
IV	30924981
X	18853386
X	17499512
I	18548737
II	38539311
IV	34518973
I	7911243
I	19784232
I	24159939
I	24774949
I	24954551
I	29982609
II	473722
II	2786725
II	10337297
II	12238925
II	34874734
IV	3007363
IV	44092800
IV	44697513
IV	46783580
IV	50844589
V	9858114
V	12181760
V	14333698
V	21180292
V	43917287
X	6759128
X	11590431
I	44989797
V	1497017
I	9243053
I	16557385
I	37156933
II	31288416
III	13406015
III	29441181
III	44183704
IV	9118136
III	26593442
IV	50363600
I	22454631
III	11742015
I	27257647
I	20170207
I	5593793
II	31545771
II	6780711
II	44920153
X	17288669
II	27426836
IV	44609964
III	37355820
III	22866628
I	15203306
IV	45507119
III	44622407
II	27295167
V	45231340
III	44457066
X	9132899
X	33541260
II	17888842
I	16646953
X	23780425
II	14646382
X	26374460
V	39796893
I	44471212
IV	14477753
V	41995466
X	28646523
I	15033673
X	19904527
I	24759379
I	47306059
V	47771511
III	44618133
III	22124110
I	10847764
I	33111628
II	20136124
II	38696476
V	5518117
III	22584538
III	45635248
V	26023006
I	7440323
I	21332300
I	25930429
I	38029362
II	7180822
II	21137035
II	22290623
III	14297694
III	17792730
III	29901345
III	33465713
III	35456555
III	38379345
III	41088773
III	44354514
IV	5825935
IV	40382737
IV	40425806
V	6596363
V	20014455
V	34621103
V	38591302
X	6895264
X	31908448
II	1356056
III	19053823
I	3754817
III	18831179
V	10354439
V	25522957
V	25829637
X	8463072
X	11839055
X	26044562
III	39214876
III	42415989
III	30757690
III	26271252
V	35494289
V	36702106
I	6997913
III	20010390
I	35272544
I	46096502
IV	13067319
V	38348670
IV	41391861
V	7508060
V	4806974
I	27711738
IV	47515871
I	33110875
X	2791845
I	44095434
II	47564215
II	37163447
IV	43756500
IV	29621796
III	22497985
X	503220
II	16804349
X	29605384
V	8182745
X	4240701
V	46813977
II	37370889
III	20790300
IV	36846948
II	26560342
II	17752541
II	18946722
I	38065036
II	22848938
I	34179867
I	1849835
III	31412917
III	4596117
I	43507378
IV	28595682
III	36443470
V	43391123
I	11857665
I	46299202
X	33149399
I	35340741
I	1049677
I	35272153
X	33773548
I	1757743
I	16657635
II	4048055
II	33554850
III	3944280
III	12904372
III	16440043
III	31878610
IV	27741051
IV	44988017
V	5850711
V	11949459
V	13713695
V	29611386
I	18721187
V	43762217
X	8141535
X	25887605
I	16294403
V	633820
I	39856475
II	39678794
I	9887464
I	18139841
I	23828416
I	25551935
I	31816059
I	31817330
II	15659393
II	19284155
II	24329672
II	34573981
II	34739791
II	42585695
III	40703154
IV	2911420
IV	8549699
IV	17632674
IV	52285330
V	15062419
V	32341993
X	6542012
X	19527532
III	4501386
III	5790926
I	24695993
X	9451642
II	14806892
III	28476667
X	3708876
III	42673103
I	39472163
II	40461913
X	32989275
IV	34782343
II	26820312
I	31948909
I	21510018
II	611245
V	1996715
I	39464862
V	92251
I	2444064
X	28190470
I	33869492
IV	51934419
X	2058660
I	45664724
I	416945
V	41296363
V	22559422
X	5803436
IV	53275931
X	25604741
I	7390533
IV	7877388
V	17074435
V	38582392
II	35909170
IV	1225923
V	11943347
IV	14335855
X	3042768
I	38164409
X	32841412
V	37026440
IV	54512402
III	11743961
X	2859930
II	10896720
I	25074396
I	26722651
I	45197794
II	34607988
III	3534313
III	11546108
III	14294806
III	33289663
III	44951983
III	45117692
IV	1383727
IV	6844921
IV	10102110
IV	10940668
IV	41861585
IV	45692967
V	30051093
V	35402334
V	39688868
X	29825278
II	25161198
V	31429051
X	3606037
I	31864858
I	7401762
I	18194388
III	44369828
II	8012640
