K00002	alcohol dehydrogenase (NADP+)
K04798	prefoldin beta subunit
K04799	flap endonuclease-1
K04802	proliferating cell nuclear antigen
K04804	nicotinic acetylcholine receptor alpha-2
K04809	nicotinic acetylcholine receptor alpha-7
K04811	nicotinic acetylcholine receptor alpha-10
K04813	nicotinic acetylcholine receptor beta-2
K04832	acid-sensing ion channel 5
K04851	voltage-dependent calcium channel L type alpha-1D
K04854	voltage-dependent calcium channel T type alpha-1G
K04860	voltage-dependent calcium channel alpha-2/delta-3
K04863	voltage-dependent calcium channel beta-2
K04870	voltage-dependent calcium channel gamma-5
K04874	potassium voltage-gated channel Shaker-related subfamily A member 1
K04886	potassium voltage-gated channel Shab-related subfamily B member 2
K04887	potassium voltage-gated channel Shaw-related subfamily C member 1
K04892	potassium voltage-gated channel Shal-related subfamily D member 2
K04905	potassium voltage-gated channel Eag-related subfamily H member 2
K04908	potassium voltage-gated channel Eag-related subfamily H member 5
K04912	potassium channel subfamily K member 1
K04919	potassium channel subfamily K member 9
K04922	potassium channel subfamily K member 13
K04926	potassium voltage-gated channel KQT-like subfamily member 1
K04930	potassium voltage-gated channel KQT-like subfamily member 5
K04936	potassium large conductance calcium-activated channel subfamily M alpha member 1
K04944	potassium intermediate/small conductance calcium-activated channel subfamily N member 3
K04946	potassium channel subfamily T member 1
K04950	cyclic nucleotide gated channel alpha 3
K04952	cyclic nucleotide gated channel beta 1
K04958	inositol 1,4,5-triphosphate receptor type 1
K04962	ryanodine receptor 2
K04967	transient receptor potential cation channel subfamily C member 4
K04974	transient receptor potential cation channel subfamily V member 5
K04975	transient receptor potential cation channel subfamily V member 6
K04978	transient receptor potential cation channel subfamily M member 3
K04985	polycystin 1
K04986	polycystin 2
K04994	mucolipin 3
K05011	chloride channel 2
K05012	CLCN3_4_chloride channel 3/4/5
K05016	chloride channel 7
K05019	chloride channel, nucleotide-sensitive, 1A
K05022	chloride intracellular channel protein 2
K05034	solute carrier family 6 (neurotransmitter transporter, GABA) member 1
K05036	solute carrier family 6 (neurotransmitter transporter, dopamine) member 3
K05037	solute carrier family 6 (neurotransmitter transporter, serotonin) member 4
K05038	SLC6A5_solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9
K05048	solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20
K05052	neuromedin U receptor 1
K05087	insulin-like growth factor 1 receptor
K05088	proto-oncogene tyrosine-protein kinase ROS
K05096	FMS-like tyrosine kinase 1
K05099	proto-oncogene tyrosine-protein kinase Met
K05110	Eph receptor B1
K05119	anaplastic lymphoma kinase
K05122	receptor tyrosine kinase-like orphan receptor 1
K05123	receptor tyrosine kinase-like orphan receptor 2
K05125	discoidin domain receptor family member 2
K05128	RYK receptor-like tyrosine kinase
K05175	gamma-aminobutyric acid receptor subunit alpha
K05181	gamma-aminobutyric acid receptor subunit beta
K05190	gamma-aminobutyric acid receptor subunit rho
K05192	gamma-aminobutyric acid receptor subunit theta
K05208	glutamate receptor ionotropic, NMDA 1
K05210	glutamate receptor ionotropic, NMDA 2B
K05236	coatomer subunit alpha
K05273	glutamate receptor, anionic
K05283	glucosaminylphosphatidylinositol acyltransferase
K05284	GPI mannosyltransferase 1 subunit M
K05285	GPI ethanolamine phosphate transferase 1
K05286	GPI mannosyltransferase 3
K05287	GPI ethanolamine phosphate transferase 2/3 subunit F
K05288	GPI ethanolamine phosphate transferase 3 subunit O
K05289	GPI-anchor transamidase subunit GAA1
K05290	GPI-anchor transamidase subunit K
K05291	GPI-anchor transamidase subunit S
K05292	GPI-anchor transamidase subunit T
K05293	GPI-anchor transamidase subunit U
K05294	GPI inositol-deacylase
K05309	microsomal prostaglandin-E synthase 2
K05310	ethanolamine phosphate transferase 2 subunit G
K05312	nicotinic acetylcholine receptor, invertebrate
K05313	glutamate receptor, ionotropic, invertebrate
K05323	potassium channel subfamily K, invertebrate
K05330	potassium inwardly-rectifying channel subfamily J, other
K05350	beta-glucosidase
K05357	vitamin-K-epoxide reductase (warfarin-sensitive)
K05360	protein-disulfide reductase (glutathione)
K05361	phospholipid-hydroperoxide glutathione peroxidase
K05397	histamine-gated chloride channel
K05399	lipopolysaccharide-binding protein
K05402	toll-interacting protein
K05410	TANK-binding kinase 1
K05463	ephrin-B
K05466	angiopoietin 2
K05491	interleukin 17C
K05496	bone morphogenetic protein 3
K05497	growth differentiation factor 8
K05542	tRNA-dihydrouridine synthase 1
K05543	tRNA-dihydrouridine synthase 2
K05544	tRNA-dihydrouridine synthase 3
K05545	tRNA-dihydrouridine synthase 4
K05546	mannosyl-oligosaccharide alpha-1,3-glucosidase
K05605	3-hydroxyisobutyryl-CoA hydrolase
K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase
K05607	methylglutaconyl-CoA hydratase
K05609	ubiquitin carboxyl-terminal hydrolase L3
K05610	ubiquitin carboxyl-terminal hydrolase L5
K05613	solute carrier family 1 (glial high affinity glutamate transporter), member 2
K05614	solute carrier family 1 (glial high affinity glutamate transporter), member 3
K05619	transglutaminase 1
K05628	arginine-glutamic acid dipeptide repeats protein
K05633	NEDD4-like E3 ubiquitin-protein ligase WWP1
K05635	laminin, gamma 1
K05636	laminin, beta 1
K05637	LAMA1_laminin, alpha 1/2
K05638	nuclear factor erythroid 2-related factor 2
K05641	ATP-binding cassette, subfamily A (ABC1), member 1
K05643	ATP-binding cassette, subfamily A (ABC1), member 3
K05655	ATP-binding cassette, subfamily B (MDR/TAP), member 8
K05656	ATP-binding cassette, subfamily B (MDR/TAP), member 9
K05657	ATP-binding cassette, subfamily B (MDR/TAP), member 10
K05658	ATP-binding cassette, subfamily B (MDR/TAP), member 1
K05661	ATP-binding cassette, subfamily B (MDR/TAP), member 6
K05662	ATP-binding cassette, subfamily B (MDR/TAP), member 7
K05665	ATP-binding cassette, subfamily C (CFTR/MRP), member 1
K05668	ATP-binding cassette, subfamily C (CFTR/MRP), member 5
K05674	ATP-binding cassette, subfamily C (CFTR/MRP), member 10
K05675	ATP-binding cassette, subfamily D (ALD), member 1
K05676	ATP-binding cassette, subfamily D (ALD), member 2
K05677	ATP-binding cassette, subfamily D (ALD), member 3
K05678	ATP-binding cassette, subfamily D (ALD), member 4
K05687	protein DJ-1
K05688	PTEN induced putative kinase 1
K05691	catenin alpha
K05692	ACTB_actin beta/gamma 1
K05694	receptor-type tyrosine-protein phosphatase beta
K05695	receptor-type tyrosine-protein phosphatase F
K05696	tyrosine-protein phosphatase non-receptor type 1
K05699	ACTN1_actinin alpha 1/4
K05700	vinculin
K05701	tight junction protein 1
K05704	tyrosine-protein kinase Src
K05706	snail 2
K05719	integrin beta 1
K05725	focal adhesion kinase 1
K05727	dedicator of cytokinesis protein 3
K05728	c-src tyrosine kinase
K05734	p21-activated kinase 4
K05737	G protein-coupled receptor kinase interactor 1
K05741	diaphanous 2
K05742	solute carrier family 9 (sodium/hydrogen exchanger), member 1
K05749	cytoplasmic FMR1 interacting protein
K05754	actin related protein 2/3 complex, subunit 5
K05755	actin related protein 2/3 complex, subunit 4
K05756	actin related protein 2/3 complex, subunit 3
K05757	ARPC1A_actin related protein 2/3 complex, subunit 1A/1B
K05758	actin related protein 2/3 complex, subunit 2
K05759	profilin
K05760	paxillin
K05765	cofilin
K05766	protein phosphatase slingshot
K05767	IQGAP2_Ras GTPase-activating-like protein IQGAP2/3
K05768	gelsolin
K05769	ARHGEF4_Rho guanine nucleotide exchange factor 4/29
K05770	translocator protein
K05849	solute carrier family 8 (sodium/calcium exchanger)
K05853	P-type Ca2+ transporter type 2A
K05857	phosphatidylinositol phospholipase C, delta
K05858	phosphatidylinositol phospholipase C, beta
K05860	phosphatidylinositol phospholipase C, epsilon
K05863	solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31
K05864	peptidyl-prolyl isomerase D
K05868	G2/mitotic-specific cyclin-B1
K05870	cyclic AMP-responsive element-binding protein 1
K05906	prenylcysteine oxidase / farnesylcysteine lyase
K05929	E2.1.1.phosphoethanolamine N-methyltransferase
K05931	type I protein arginine methyltransferase
K05940	carnitine O-octanoyltransferase
K05941	E2.3.2.glutathione gamma-glutamylcysteinyltransferase
K05954	protein farnesyltransferase subunit beta
K05955	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
K05956	geranylgeranyl transferase type-2 subunit beta
K05969	peptidyl-tRNA hydrolase PTRHD1
K06013	STE24 endopeptidase
K06027	vesicle-fusing ATPase
K06030	mitofusin 2
K06051	delta
K06053	recombining binding protein suppressor of hairless
K06054	hairy and enhancer of split 1
K06057	numb
K06058	deltex
K06059	disintegrin and metalloproteinase domain-containing protein 17
K06062	histone acetyltransferase
K06063	SNW domain-containing protein 1
K06066	CBF1 interacting corepressor
K06067	HDAC1_histone deacetylase 1/2
K06068	novel protein kinase C delta type
K06069	atypical protein kinase C iota type
K06070	protein kinase D
K06072	deoxyhypusine monooxygenase
K06083	WAS protein family, member 3
K06084	F-box protein 20
K06086	sorbin and SH3 domain containing protein 1
K06091	MAGUK p55 subfamily member 5
K06093	partitioning defective protein 6
K06094	lethal(2) giant larvae protein
K06096	vesicle-associated membrane protein-associated protein A
K06100	symplekin
K06101	lysine4 N-trimethyltransferase ASH1L
K06103	calcium/calmodulin-dependent serine protein kinase
K06106	cortactin
K06110	exocyst complex component 3
K06111	exocyst complex component 4
K06114	spectrin alpha, non-erythrocytic (fodrin)
K06115	SPTBN1_4_spectrin beta, non-erythrocytic 1/4/5
K06125	4-hydroxybenzoate polyprenyltransferase
K06126	4-hydroxy-3-polyprenylbenzoate 5-hydroxylase / 2-methoxy-6-polyprenylphenol 4-hydroxylase
K06127	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
K06128	lysophospholipase I
K06129	lysophospholipase III
K06130	lysophospholipase II
K06133	4'-phosphopantetheinyl transferase
K06158	ATP-binding cassette, subfamily F, member 3
K06170	presenilin enhancer 2
K06171	nicastrin
K06172	gamma-secretase subunit APH-1
K06173	tRNA pseudouridine38-40 synthase
K06174	ATP-binding cassette, sub-family E, member 1
K06176	tRNA pseudouridine13 synthase
K06184	ATP-binding cassette, subfamily F, member 1
K06185	ATP-binding cassette, subfamily F, member 2
K06201	copper homeostasis protein
K06210	nicotinamide mononucleotide adenylyltransferase
K06226	smoothened
K06230	zinc finger protein GLI3
K06233	low density lipoprotein-related protein 2
K06237	collagen type IV alpha
K06238	collagen type VI alpha
K06240	LAMA3_laminin, alpha 3/5
K06254	agrin
K06265	dystroglycan 1
K06268	serine/threonine-protein phosphatase 2B regulatory subunit
K06269	serine/threonine-protein phosphatase PP1 catalytic subunit
K06270	protein phosphatase 1 regulatory subunit 12A
K06271	talin
K06272	integrin-linked kinase
K06275	parvin
K06276	3-phosphoinositide dependent protein kinase-1
K06278	caveolin 1
K06279	SHC-transforming protein 1
K06316	oligosaccharide translocation protein RFT1
K06460	CD9 antigen
K06491	neural cell adhesion molecule
K06497	CD63 antigen
K06515	solute carrier family 44 (choline transporter-like protein), member 1
K06528	LAMP1_lysosomal-associated membrane protein 1/2
K06530	CD109 antigen
K06532	prominin 1
K06537	CD151 antigen
K06561	CD207 antigen
K06569	melanoma-associated antigen p97
K06580	ammonium transporter Rh
K06584	integrin alpha 8
K06619	abelson tyrosine-protein kinase 1
K06620	transcription factor E2F3
K06626	G1/S-specific cyclin-E1
K06627	cyclin-A
K06628	cell division control protein 45
K06631	polo-like kinase 1
K06633	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
K06634	cyclin H
K06636	structural maintenance of chromosome 1
K06639	cell division cycle 14
K06640	serine/threonine-protein kinase ATR
K06641	serine/threonine-protein kinase CHEK2
K06642	DNA-dependent protein kinase catalytic subunit
K06662	cell cycle checkpoint protein
K06664	peroxin-2
K06669	structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K06670	cohesin complex subunit SCC1
K06671	STAG1_cohesin complex subunit SA-1/2
K06672	cohesin loading factor subunit SCC2
K06674	structural maintenance of chromosome 2
K06675	structural maintenance of chromosome 4
K06676	condensin complex subunit 2
K06677	condensin complex subunit 1
K06678	condensin complex subunit 3
K06679	mitotic spindle assembly checkpoint protein MAD1
K06685	MOB kinase activator 1
K06689	ubiquitin-conjugating enzyme E2 D
K06691	26S proteasome regulatory subunit N13
K06692	26S proteasome non-ATPase regulatory subunit 5
K06693	26S proteasome regulatory subunit N4
K06694	26S proteasome non-ATPase regulatory subunit 10
K06695	26S proteasome regulatory subunit, ATPase 3, interacting protein
K06698	proteasome activator subunit 3 (PA28 gamma)
K06699	proteasome activator subunit 4
K06704	disintegrin and metalloproteinase domain-containing protein 10
K06709	trimethyl-L-lysine9/36 demethylase
K06754	roundabout, axon guidance receptor 2
K06761	CNTN3_4_5_contactin 3/4/5/6
K06766	neogenin
K06772	limbic system-associated membrane protein
K06826	nidogen (entactin)
K06832	galectin-8
K06839	slit 2
K06843	netrin 1
K06846	LY6D_E_F_G6_lymphocyte antigen 6 complex locus protein D/E/F/G6/H
K06867	uncharacterized protein
K06874	zinc finger protein ZPR1
K06875	programmed cell death protein 5
K06910	phosphatidylethanolamine-binding protein
K06927	diphthine-ammonia ligase
K06943	nucleolar GTP-binding protein
K06944	developmentally-regulated GTP-binding protein 1
K06947	polynucleotide 5'-hydroxyl-kinase GRC3/NOL9
K06961	ribosomal RNA assembly protein
K06963	tRNA acetyltransferase TAN1
K06965	protein pelota
K06971	uncharacterized protein
K06975	uncharacterized protein
K06989	aspartate dehydrogenase
K06990	MEMO1 family protein
K06997	PLP dependent protein
K07023	5'-deoxynucleotidase
K07055	tRNA wybutosine-synthesizing protein 2
K07071	uncharacterized protein
K07117	uncharacterized protein
K07127	5-hydroxyisourate hydrolase
K07151	dolichyl-diphosphooligosaccharide---protein glycosyltransferase
K07152	protein SCO1
K07178	RIO kinase 1
K07179	RIO kinase 2
K07189	protein phosphatase 1 regulatory subunit 3A/B/C/D/E
K07195	exocyst complex component 7
K07197	sterol regulatory element-binding transcription factor 1
K07198	5'-AMP-activated protein kinase, catalytic alpha subunit
K07199	5'-AMP-activated protein kinase, regulatory beta subunit
K07200	5'-AMP-activated protein kinase, regulatory gamma subunit
K07203	serine/threonine-protein kinase mTOR
K07204	regulatory associated protein of mTOR
K07206	tuberous sclerosis 1
K07207	tuberous sclerosis 2
K07208	Ras homolog enriched in brain
K07232	glutathione-specific gamma-glutamylcyclotransferase
K07253	phenylpyruvate tautomerase
K07277	outer membrane protein insertion porin family
K07292	hepatocyte nuclear factor 4-alpha
K07293	tyrosine-protein phosphatase non-receptor type 11
K07295	nuclear receptor subfamily 2 group A
K07297	adiponectin receptor
K07298	serine/threonine-protein kinase 11
K07299	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1
K07304	peptide-methionine (S)-S-oxide reductase
K07305	peptide-methionine (R)-S-oxide reductase
K07342	protein transport protein SEC61 subunit gamma and related proteins
K07359	calcium/calmodulin-dependent protein kinase kinase 2
K07369	mucosa-associated lymphoid tissue lymphoma translocation protein 1
K07374	tubulin alpha
K07375	tubulin beta
K07376	cGMP-dependent protein kinase 1
K07378	neuroligin
K07390	monothiol glutaredoxin
K07419	vitamin D 25-hydroxylase
K07427	docosahexaenoic acid omega-hydroxylase
K07432	beta-1,4-N-acetylglucosaminyltransferase
K07441	beta-1,4-N-acetylglucosaminyltransferase
K07442	tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit
K07466	replication factor A1
K07508	acetyl-CoA acyltransferase 2
K07509	acetyl-CoA acyltransferase
K07511	enoyl-CoA hydratase
K07512	mitochondrial enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase
K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase
K07525	neuronal guanine nucleotide exchange factor
K07526	SLIT-ROBO Rho GTPase activating protein
K07532	Rho guanine nucleotide exchange factor 12
K07541	GPI mannosyltransferase 1 subunit X
K07542	GPI mannosyltransferase 2
K07554	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s
K07556	ATP synthase mitochondrial F1 complex assembly factor 2
K07560	D-aminoacyl-tRNA deacylase
K07561	2-(3-amino-3-carboxypropyl)histidine synthase
K07562	60S ribosomal export protein NMD3
K07565	60S ribosome subunit biogenesis protein NIP7
K07566	L-threonylcarbamoyladenylate synthase
K07573	exosome complex component CSL4
K07575	malignant T-cell-amplified sequence
K07583	tRNA pseudouridine synthase 10
K07588	GTPase
K07611	lamin B
K07739	elongator complex protein 3 (tRNA carboxymethyluridine synthase)
K07752	carboxypeptidase D
K07756	inositol-hexakisphosphate 5-kinase
K07759	poly(ADP-ribose) glycohydrolase
K07765	S2P endopeptidase
K07766	E3.6.1.diphosphoinositol-polyphosphate diphosphatase
K07767	katanin p60 ATPase-containing subunit A1
K07809	glucosamine 3-sulfotransferase 3
K07817	receptor-type tyrosine-protein phosphatase N
K07827	GTPase KRas
K07830	Ras-related protein R-Ras2
K07831	Ras-related protein M-Ras
K07834	Ras-related protein Ral-A
K07837	Ras-related protein Rap-2A
K07838	Ras-related protein Rap-2B
K07841	DIRAS family, GTP-binding Ras-like 2
K07843	RAS, dexamethasone-induced Ras-related protein 1
K07844	RASD family, member 2
K07851	Ras-like protein family member 10B
K07854	Ras-like protein family member 12
K07856	Ras homolog gene family, member B
K07857	Ras homolog gene family, member C
K07865	Ras homolog gene family, member U
K07870	mitochondrial Rho GTPase 1
K07874	Ras-related protein Rab-1A
K07876	Ras-related protein Rab-35
K07877	Ras-related protein Rab-2A
K07880	Ras-related protein Rab-4B
K07881	Ras-related protein Rab-14
K07883	Ras-related protein Rab-3C
K07885	Ras-related protein Rab-27A
K07888	Ras-related protein Rab-5B
K07889	Ras-related protein Rab-5C
K07890	Ras-related protein Rab-21
K07893	Ras-related protein Rab-6A
K07897	Ras-related protein Rab-7A
K07901	Ras-related protein Rab-8A
K07903	Ras-related protein Rab-10
K07905	Ras-related protein Rab-11B
K07910	Ras-related protein Rab-18
K07914	Ras-related protein Rab-37
K07915	Ras-related protein Rab-28
K07917	Ras-related protein Rab-30
K07918	Ras-related protein Rab-32
K07920	Ras-related protein Rab-33B
K07925	Ras-related protein Rab-39B
K07928	Ras-related protein Rab-40
K07930	Ras-related protein Rab-43
K07933	Rab-like protein 3
K07935	intraflagellar transport protein 22
K07936	GTP-binding nuclear protein Ran
K07937	ARF1_ADP-ribosylation factor 1/2
K07939	ADP-ribosylation factor 4
K07941	ADP-ribosylation factor 6
K07942	ADP-ribosylation factor-like protein 1
K07943	ADP-ribosylation factor-like protein 2
K07944	ADP-ribosylation factor-like protein 3
K07950	ADP-ribosylation factor-like protein 5B
K07951	ADP-ribosylation factor-like protein 6
K07952	ADP-ribosylation factor related protein 1
K07953	GTP-binding protein SAR1
K07955	ADP-ribosylation factor-like protein 8
K07962	ADP-ribosylation factor-like protein 13B
K07963	tripartite motif-containing protein 23
K07968	beta-1,4-galactosyltransferase 3
K07971	beta-1,3-N-acetylglucosaminyltransferase 4
K07976	Rab family, other
K07997	matrix metalloproteinase-17 (membrane-inserted)
K08024	homeobox protein HEX
K08025	homeobox protein HB9
K08026	one cut domain, family member 1 (hepatocyte nuclear factor 6)
K08027	nuclear receptor subfamily 5 group A member 2
K08029	NKX2-homeobox protein Nkx-2.2
K08030	NKX6-homeobox protein Nkx-6.1
K08031	paired box protein 6
K08035	forkhead box protein A2, hepatocyte nuclear factor 3-beta
K08049	adenylate cyclase 9
K08054	calnexin
K08056	protein disulfide-isomerase A3
K08057	calreticulin
K08064	nuclear transcription factor Y, alpha
K08065	nuclear transcription Y subunit beta
K08066	nuclear transcription factor Y, gamma
K08073	bifunctional polynucleotide phosphatase/kinase
K08074	ADP-dependent glucokinase
K08076	E3.4.24.astacin
K08077	UDP-sugar diphosphatase
K08104	glucosamine 3-sulfotransferase 5
K08110	glypican 4
K08115	chondroitin sulfate proteoglycan 4
K08143	MFS transporter, SP family, solute carrier family 2 (facilitated glucose/fructose transporter), member 5
K08150	MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13
K08155	SLC18A1_MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2
K08171	MFS transporter, OPA family, solute carrier family 37 (glycerol-6-phosphate transporter), member 4
K08193	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other
K08202	SLC22A4_MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 4/5
K08214	MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18
K08220	MFS transporter, FLVCR family, feline leukemia virus subgroup C receptor-related protein
K08252	E2.7.10.receptor protein-tyrosine kinase
K08253	E2.7.10.non-specific protein-tyrosine kinase
K08266	target of rapamycin complex subunit LST8
K08267	rapamycin-insensitive companion of mTOR
K08268	hypoxia-inducible factor 1 alpha
K08269	serine/threonine-protein kinase ULK2
K08271	STE20-related kinase adapter protein alpha
K08272	calcium binding protein 39
K08283	collagen type IV alpha-3-binding protein
K08286	E2.7.11.-; protein-serine/threonine kinase
K08288	protein kinase C substrate 80K-H
K08291	GRK4_5_G protein-coupled receptor kinase
K08292	elongation factor 2 kinase
K08331	autophagy-related protein 13
K08333	phosphoinositide-3-kinase, regulatory subunit 4
K08334	beclin
K08336	ubiquitin-like protein ATG12
K08337	ubiquitin-like modifier-activating enzyme ATG7
K08339	autophagy-related protein 5
K08341	GABA(A) receptor-associated protein
K08342	cysteine protease ATG4
K08343	ubiquitin-like-conjugating enzyme ATG3
K08360	transmembrane ascorbate-dependent reductase
K08362	thyroid hormone receptor beta
K08428	G protein-coupled receptor 139
K08471	gustatory receptor
K08473	nematode chemoreceptor
K08486	STX1B_2_syntaxin 1B/2/3
K08489	syntaxin 16
K08490	syntaxin 5
K08491	syntaxin 17
K08492	syntaxin 18
K08493	vesicle transport through interaction with t-SNAREs 1
K08495	golgi SNAP receptor complex member 1
K08496	golgi SNAP receptor complex member 2
K08497	protein transport protein SEC20
K08498	syntaxin 6
K08504	blocked early in transport 1
K08507	unconventional SNARE in the endoplasmic reticulum protein 1
K08509	synaptosomal-associated protein 29
K08512	vesicle-associated membrane protein 8
K08514	vesicle-associated membrane protein 5
K08516	synaptobrevin homolog YKT6
K08517	vesicle transport protein SEC22
K08518	syntaxin-binding protein 5
K08532	RAR-related orphan receptor alpha
K08533	RAR-related orphan receptor beta
K08536	liver X receptor alpha
K08542	hepatocyte nuclear factor 4-beta
K08544	testicular receptor 4
K08545	nuclear receptor subfamily 2 group E member 1
K08546	nuclear receptor subfamily 2 group E member 3
K08547	COUP transcription factor 1
K08548	COUP transcription factor 2
K08558	nuclear receptor subfamily 4 group A member 2
K08560	steroidogenic factor 1
K08568	cathepsin X
K08574	calpain-5
K08576	calpain-7
K08582	calpain-15
K08585	calpain, invertebrate
K08588	ubiquitin carboxyl-terminal hydrolase BAP1
K08592	sentrin-specific protease 1
K08596	sentrin-specific protease 7
K08597	sentrin-specific protease 8
K08601	ubiquitin carboxyl-terminal hydrolase CYLD
K08624	a disintegrin and metalloproteinase with thrombospondin motifs 9
K08635	neprilysin
K08637	carboxypeptidase A4
K08653	membrane-bound transcription factor site-1 protease
K08655	dipeptidyl-peptidase 8
K08656	dipeptidyl-peptidase 9
K08657	taspase, threonine aspartase, 1
K08658	intramembrane prenyl-peptidase
K08660	cytosolic nonspecific dipeptidase
K08664	prostasin
K08669	HtrA serine peptidase 2
K08672	proprotein convertase subtilisin/kexin type 6
K08675	ATP-dependent Lon protease
K08678	UDP-glucuronate decarboxylase
K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase
K08701	nuclear receptor subfamily 1 group D member 3
K08704	hepatocyte nuclear factor 4
K08705	nuclear receptor subfamily 5 group A member 3
K08706	nuclear receptor subfamily 0 group A
K08707	deoxynucleotidyltransferase terminal-interacting protein 1
K08709	nuclear receptor, other families, insect
K08729	phosphatidylserine synthase 1
K08731	baculoviral IAP repeat-containing protein 5
K08733	DCC-interacting protein 13 alpha
K08734	DNA mismatch repair protein MLH1
K08735	DNA mismatch repair protein MSH2
K08737	DNA mismatch repair protein MSH6
K08738	cytochrome c
K08740	DNA mismatch repair protein MSH4
K08741	DNA mismatch repair protein MSH5
K08743	ectonucleotide pyrophosphatase/phosphodiesterase family member 6
K08744	cardiolipin synthase (CMP-forming)
K08745	SLC27A1_solute carrier family 27 (fatty acid transporter), member 1/4
K08752	fatty acid-binding protein 3, muscle and heart
K08762	diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)
K08764	sterol carrier protein 2
K08765	carnitine O-palmitoyltransferase 1, liver isoform
K08766	carnitine O-palmitoyltransferase 2
K08770	ubiquitin C
K08773	RalA-binding protein 1
K08775	breast cancer 2 susceptibility protein
K08776	puromycin-sensitive aminopeptidase
K08782	carboxypeptidase A6
K08789	MAST-subfamily protein kinase
K08790	serine/threonine kinase 38
K08791	LATS1_serine/threonine-protein kinase LATS1/2
K08793	serine/threonine kinase 32
K08794	calcium/calmodulin-dependent protein kinase I
K08796	BR serine/threonine kinase
K08798	MAP/microtubule affinity-regulating kinase
K08799	maternal embryonic leucine zipper kinase
K08802	SNF related kinase
K08803	death-associated protein kinase
K08805	DCLK1_doublecortin-like kinase 1/2
K08808	protein serine kinase H
K08811	testis-specific serine kinase
K08814	TRIB1_tribbles homolog 1/2
K08815	tau tubulin kinase
K08816	vaccinia related kinase
K08817	cell cycle related kinase
K08818	cell division cycle 2-like
K08819	CDK12_cyclin-dependent kinase 12/13
K08821	cyclin-dependent kinase 14
K08823	CLK2_dual specificity protein kinase CLK2/3
K08824	cyclin-dependent kinase-like
K08825	dual specificity tyrosine-phosphorylation-regulated kinase 1
K08826	homeodomain interacting protein kinase
K08827	serine/threonine-protein kinase PRP4
K08829	male germ cell-associated kinase
K08833	mitogen-activated protein kinase kinase kinase kinase 5
K08835	serine/threonine-protein kinase OSR1/STK39
K08836	STE20-like kinase
K08838	STK24_25_serine/threonine-protein kinase 24/25/MST4
K08840	TRAF2 and NCK interacting kinase
K08842	testis-specific kinase 2
K08850	aurora kinase, other
K08851	TP53 regulating kinase and related kinases
K08852	serine/threonine-protein kinase/endoribonuclease IRE1
K08853	AP2-associated kinase
K08855	cyclin G-associated kinase
K08856	serine/threonine kinase 16
K08858	serine/threonine-protein kinase SBK
K08860	eukaryotic translation initiation factor 2-alpha kinase 3
K08863	polo-like kinase 4
K08864	tousled-like kinase
K08866	serine/threonine-protein kinase TTK/MPS1
K08867	WNK lysine deficient protein kinase
K08869	aarF domain-containing kinase
K08870	twinfilin
K08871	bromodomain-containing protein 2
K08872	RIO kinase 3
K08873	serine/threonine-protein kinase SMG1
K08874	transformation/transcription domain-associated protein
K08875	nuclear receptor-binding protein
K08876	SCY1-like protein 1
K08883	tripartite motif-containing protein 33
K08886	activated CDC42 kinase 1
K08889	tyrosine-protein kinase Fer
K08892	fyn-related kinase
K08900	mitochondrial chaperone BCS1
K08955	ATP-dependent metalloprotease
K08956	AFG3 family protein
K08957	casein kinase 1, alpha
K08958	casein kinase 1, gamma
K08959	casein kinase 1, delta
K08960	casein kinase 1, epsilon
K08963	methylthioribose-1-phosphate isomerase
K08964	methylthioribulose-1-phosphate dehydratase
K08967	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
K08991	crossover junction endonuclease MUS81
K09008	NADH dehydrogenase 1 alpha subcomplex assembly factor 3
K09022	2-iminobutanoate/2-iminopropanoate deaminase
K09027	X box-binding protein 1
K09031	fos-like antigen, invertebrate
K09044	activating transcription factor 5
K09045	activating transcription factor 7
K09048	cyclic AMP-responsive element-binding protein 3
K09054	cyclic AMP-dependent transcription factor ATF-6 alpha
K09062	protein giant
K09067	achaete-scute complex protein
K09068	T-cell acute lymphocytic leukemia protein
